时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号
20:34.8,0.4,接地夹下端,3.02,1.53,1.61,3.159,1.233,1.822,T1
20:34.9,0.4,焊把钳下端,3.02,1.15,1.56,3.161,1.229,1.825,T1
20:34.9,0.4,接地夹下端,3.02,1.53,1.61,3.161,1.229,1.825,T1
20:35.0,0.4,焊把钳下端,3.02,1.15,1.56,3.157,1.229,1.83,T1
20:35.0,0.4,接地夹下端,3.02,1.53,1.61,3.157,1.229,1.83,T1
20:35.1,0.4,焊把钳下端,3.02,1.15,1.56,3.148,1.236,1.833,T1
20:35.1,0.4,接地夹下端,3.02,1.53,1.61,3.148,1.236,1.833,T1
20:35.2,0.4,焊把钳下端,3.02,1.15,1.56,3.129,1.244,1.839,T1
20:35.2,0.4,接地夹下端,3.02,1.53,1.61,3.129,1.244,1.839,T1
20:35.3,0.4,焊把钳下端,3.02,1.15,1.56,3.105,1.249,1.848,T1
20:35.3,0.4,接地夹下端,3.02,1.53,1.61,3.105,1.249,1.848,T1
20:35.4,0.4,焊把钳下端,3.02,1.15,1.56,3.093,1.257,1.856,T1
20:35.4,0.4,接地夹下端,3.02,1.53,1.61,3.093,1.257,1.856,T1
20:35.5,0.4,焊把钳下端,3.02,1.15,1.56,3.091,1.273,1.872,T1
20:35.5,0.4,接地夹下端,3.02,1.53,1.61,3.091,1.273,1.872,T1
20:35.6,0.4,焊把钳下端,3.02,1.15,1.56,3.087,1.319,1.9,T1
20:35.6,0.4,接地夹下端,3.02,1.53,1.61,3.087,1.319,1.9,T1
20:35.7,0.4,接地夹下端,3.02,1.53,1.61,3.082,1.393,1.939,T1
20:35.8,0.4,接地夹下端,3.02,1.53,1.61,3.084,1.486,1.982,T1
20:36.8,0.4,焊把钳下端,3.02,1.15,1.56,3.065,1.008,1.766,T1
20:36.9,0.4,焊把钳下端,3.02,1.15,1.56,3.03,0.944,1.752,T1
20:37.0,0.4,焊把钳下端,3.02,1.15,1.56,2.998,0.889,1.742,T1
20:37.1,0.4,焊把钳下端,3.02,1.15,1.56,2.974,0.842,1.736,T1
20:37.2,0.4,焊把钳下端,3.02,1.15,1.56,2.963,0.791,1.726,T1
20:38.1,0.4,焊把钳下端,3.02,1.15,1.56,2.954,1.274,1.934,T1
20:38.2,0.4,焊把钳下端,3.02,1.15,1.56,2.952,1.278,1.915,T1
20:38.3,0.4,焊把钳下端,3.02,1.15,1.56,3.103,1.277,1.872,T1
20:38.3,0.4,接地夹下端,3.02,1.53,1.61,3.103,1.277,1.872,T1
20:38.4,0.4,焊把钳下端,3.02,1.15,1.56,3.257,1.182,1.869,T1
20:39.3,0.4,焊把钳下端,3.02,1.15,1.56,3.258,1.243,1.607,T0
20:39.3,0.4,接地夹下端,3.02,1.53,1.61,3.258,1.243,1.607,T0
20:39.4,0.4,焊把钳下端,3.02,1.15,1.56,3.128,1.271,1.627,T0
20:39.4,0.4,接地夹下端,3.02,1.53,1.61,3.128,1.271,1.627,T0
20:39.5,0.4,焊把钳下端,3.02,1.15,1.56,2.995,1.299,1.637,T0
20:39.5,0.4,接地夹下端,3.02,1.53,1.61,2.995,1.299,1.637,T0
20:39.6,0.4,焊把钳下端,3.02,1.15,1.56,2.889,1.329,1.623,T0
20:39.6,0.4,接地夹下端,3.02,1.53,1.61,2.889,1.329,1.623,T0
20:39.7,0.4,焊把钳下端,3.02,1.15,1.56,2.831,1.33,1.567,T0
20:39.7,0.4,接地夹下端,3.02,1.53,1.61,2.831,1.33,1.567,T0
20:39.9,0.4,焊把钳下端,3.02,1.15,1.56,2.786,1.345,1.502,T0
20:39.9,0.4,接地夹下端,3.02,1.53,1.61,2.786,1.345,1.502,T0
20:40.0,0.4,焊把钳下端,3.02,1.15,1.56,2.748,1.353,1.441,T0
20:40.0,0.4,接地夹下端,3.02,1.53,1.61,2.748,1.353,1.441,T0
20:40.0,0.4,墙壁电源,2.44,2.57,0.97,2.137,2.708,1.17,T1
20:47.8,0.4,墙壁电源,2.44,2.57,0.97,2.479,2.54,0.605,T1
20:47.9,0.4,墙壁电源,2.44,2.57,0.97,2.606,2.447,0.735,T1
20:48.0,0.4,墙壁电源,2.44,2.57,0.97,2.704,2.362,0.791,T1
20:49.9,0.4,墙壁电源,2.44,2.57,0.97,2.269,2.663,0.707,T0
20:50.0,0.4,墙壁电源,2.44,2.57,0.97,2.331,2.628,0.767,T0
20:50.1,0.4,墙壁电源,2.44,2.57,0.97,2.359,2.606,0.77,T0
20:50.2,0.4,墙壁电源,2.44,2.57,0.97,2.375,2.595,0.765,T0
20:50.3,0.4,墙壁电源,2.44,2.57,0.97,2.389,2.585,0.764,T0
20:50.4,0.4,墙壁电源,2.44,2.57,0.97,2.403,2.573,0.773,T0
20:50.5,0.4,墙壁电源,2.44,2.57,0.97,2.408,2.565,0.785,T0
20:50.6,0.4,墙壁电源,2.44,2.57,0.97,2.413,2.555,0.801,T0
20:50.6,0.4,墙壁电源,2.44,2.57,0.97,2.489,2.819,0.674,T1
20:50.7,0.4,墙壁电源,2.44,2.57,0.97,2.419,2.546,0.819,T0
20:50.7,0.4,墙壁电源,2.44,2.57,0.97,2.512,2.736,0.841,T1
20:50.8,0.4,墙壁电源,2.44,2.57,0.97,2.426,2.537,0.837,T0
20:50.8,0.4,墙壁电源,2.44,2.57,0.97,2.53,2.664,0.939,T1
20:50.9,0.4,墙壁电源,2.44,2.57,0.97,2.43,2.535,0.85,T0
20:50.9,0.4,墙壁电源,2.44,2.57,0.97,2.53,2.604,1.006,T1
20:51.0,0.4,墙壁电源,2.44,2.57,0.97,2.434,2.535,0.868,T0
20:51.0,0.4,墙壁电源,2.44,2.57,0.97,2.521,2.554,1.064,T1
20:51.1,0.4,墙壁电源,2.44,2.57,0.97,2.441,2.535,0.883,T0
20:51.1,0.4,墙壁电源,2.44,2.57,0.97,2.516,2.499,1.135,T1
20:51.2,0.4,墙壁电源,2.44,2.57,0.97,2.45,2.535,0.898,T0
20:51.2,0.4,墙壁电源,2.44,2.57,0.97,2.407,2.57,1.208,T1
20:51.3,0.4,墙壁电源,2.44,2.57,0.97,2.457,2.535,0.915,T0
20:51.3,0.4,墙壁电源,2.44,2.57,0.97,2.414,2.515,1.278,T1
20:51.4,0.4,墙壁电源,2.44,2.57,0.97,2.465,2.532,0.932,T0
20:51.4,0.4,墙壁电源,2.44,2.57,0.97,2.42,2.465,1.342,T1
20:51.5,0.4,墙壁电源,2.44,2.57,0.97,2.473,2.528,0.948,T0
20:51.6,0.4,墙壁电源,2.44,2.57,0.97,2.479,2.528,0.951,T0
20:51.7,0.4,墙壁电源,2.44,2.57,0.97,2.488,2.525,0.955,T0
20:51.8,0.4,墙壁电源,2.44,2.57,0.97,2.67,2.347,0.796,T0
20:51.9,0.4,墙壁电源,2.44,2.57,0.97,2.677,2.346,0.793,T0
20:52.0,0.4,墙壁电源,2.44,2.57,0.97,2.683,2.348,0.784,T0
20:52.1,0.4,墙壁电源,2.44,2.57,0.97,2.686,2.351,0.773,T0
20:52.2,0.4,墙壁电源,2.44,2.57,0.97,2.69,2.356,0.758,T0
20:52.3,0.4,墙壁电源,2.44,2.57,0.97,2.693,2.36,0.743,T0
20:52.4,0.4,墙壁电源,2.44,2.57,0.97,2.522,2.54,0.884,T0
20:52.5,0.4,墙壁电源,2.44,2.57,0.97,2.525,2.542,0.869,T0
20:52.6,0.4,墙壁电源,2.44,2.57,0.97,2.526,2.544,0.854,T0
20:52.7,0.4,墙壁电源,2.44,2.57,0.97,2.525,2.546,0.842,T0
20:52.8,0.4,墙壁电源,2.44,2.57,0.97,2.528,2.545,0.834,T0
20:52.9,0.4,墙壁电源,2.44,2.57,0.97,2.53,2.546,0.827,T0
20:53.0,0.4,墙壁电源,2.44,2.57,0.97,2.533,2.546,0.823,T0
20:53.1,0.4,墙壁电源,2.44,2.57,0.97,2.539,2.546,0.823,T0
20:53.2,0.4,墙壁电源,2.44,2.57,0.97,2.544,2.545,0.822,T0
20:53.3,0.4,墙壁电源,2.44,2.57,0.97,2.553,2.541,0.823,T0
20:53.4,0.4,墙壁电源,2.44,2.57,0.97,2.557,2.539,0.825,T0
20:54.1,0.4,墙壁电源,2.44,2.57,0.97,2.571,2.53,0.844,T0
20:54.2,0.4,墙壁电源,2.44,2.57,0.97,2.578,2.527,0.848,T0
20:54.3,0.4,墙壁电源,2.44,2.57,0.97,2.581,2.523,0.849,T0
20:54.4,0.4,墙壁电源,2.44,2.57,0.97,2.582,2.52,0.85,T0
20:54.5,0.4,墙壁电源,2.44,2.57,0.97,2.583,2.517,0.848,T0
20:54.6,0.4,墙壁电源,2.44,2.57,0.97,2.583,2.516,0.85,T0
20:54.7,0.4,墙壁电源,2.44,2.57,0.97,2.576,2.517,0.848,T0
20:54.8,0.4,墙壁电源,2.44,2.57,0.97,2.569,2.514,0.848,T0
20:54.9,0.4,墙壁电源,2.44,2.57,0.97,2.558,2.511,0.846,T0
20:54.9,0.4,墙壁电源,2.44,2.57,0.97,2.445,2.459,1.303,T1
20:55.0,0.4,墙壁电源,2.44,2.57,0.97,2.545,2.506,0.844,T0
20:55.0,0.4,墙壁电源,2.44,2.57,0.97,2.473,2.503,1.273,T1
20:55.1,0.4,墙壁电源,2.44,2.57,0.97,2.532,2.491,0.848,T0
20:55.1,0.4,墙壁电源,2.44,2.57,0.97,2.506,2.549,1.238,T1
20:55.2,0.4,墙壁电源,2.44,2.57,0.97,2.437,2.562,0.705,T0
20:55.2,0.4,墙壁电源,2.44,2.57,0.97,2.507,2.654,1.177,T1
20:55.3,0.4,墙壁电源,2.44,2.57,0.97,2.363,2.599,0.678,T0
20:55.3,0.4,墙壁电源,2.44,2.57,0.97,2.482,2.764,1.103,T1
20:55.4,0.4,墙壁电源,2.44,2.57,0.97,2.299,2.607,0.695,T0
20:55.4,0.4,墙壁电源,2.44,2.57,0.97,2.457,2.851,0.964,T1
20:55.5,0.4,墙壁电源,2.44,2.57,0.97,2.239,2.609,0.722,T0
20:55.6,0.4,墙壁电源,2.44,2.57,0.97,2.17,2.617,0.751,T0
20:55.7,0.4,墙壁电源,2.44,2.57,0.97,2.116,2.603,0.803,T0
20:55.8,0.4,墙壁电源,2.44,2.57,0.97,2.15,2.485,0.998,T0
20:55.9,0.4,墙壁电源,2.44,2.57,0.97,2.171,2.383,1.081,T0
20:58.6,0.4,焊机电源,1.45,2.1,0.39,1.72,2.197,0.667,T0
20:58.7,0.4,焊机电源,1.45,2.1,0.39,1.702,2.211,0.62,T0
20:58.8,0.4,焊机电源,1.45,2.1,0.39,1.69,2.223,0.599,T0
20:58.9,0.4,焊机电源,1.45,2.1,0.39,1.702,2.23,0.625,T0
21:04.5,0.4,墙壁电源,2.44,2.57,0.97,2.149,2.38,0.85,T1
21:04.6,0.4,墙壁电源,2.44,2.57,0.97,2.128,2.462,0.764,T1
21:08.3,0.4,墙壁电源,2.44,2.57,0.97,2.129,2.434,0.792,T1
21:08.4,0.4,墙壁电源,2.44,2.57,0.97,2.2,2.421,0.868,T1
21:08.5,0.4,墙壁电源,2.44,2.57,0.97,2.265,2.409,0.924,T1
21:08.6,0.4,墙壁电源,2.44,2.57,0.97,2.325,2.397,0.969,T1
21:08.7,0.4,墙壁电源,2.44,2.57,0.97,2.38,2.386,1.008,T1
21:08.8,0.4,墙壁电源,2.44,2.57,0.97,2.428,2.376,1.038,T1
21:08.9,0.4,墙壁电源,2.44,2.57,0.97,2.471,2.368,1.064,T1
21:09.0,0.4,墙壁电源,2.44,2.57,0.97,2.504,2.365,1.085,T1
21:09.1,0.4,墙壁电源,2.44,2.57,0.97,2.53,2.364,1.101,T1
21:09.2,0.4,墙壁电源,2.44,2.57,0.97,2.534,2.362,1.107,T1
21:09.3,0.4,墙壁电源,2.44,2.57,0.97,2.512,2.36,1.094,T1
21:09.4,0.4,墙壁电源,2.44,2.57,0.97,2.469,2.358,1.067,T1
21:09.5,0.4,墙壁电源,2.44,2.57,0.97,2.411,2.357,1.029,T1
21:09.6,0.4,墙壁电源,2.44,2.57,0.97,2.339,2.356,0.977,T1
21:09.7,0.4,墙壁电源,2.44,2.57,0.97,2.259,2.357,0.916,T1
21:09.8,0.4,墙壁电源,2.44,2.57,0.97,2.183,2.361,0.851,T1
21:11.9,0.4,墙壁电源,2.44,2.57,0.97,2.166,2.333,0.879,T1
21:12.0,0.4,墙壁电源,2.44,2.57,0.97,2.198,2.327,0.92,T1
21:12.1,0.4,墙壁电源,2.44,2.57,0.97,2.209,2.338,0.947,T1
21:12.2,0.4,墙壁电源,2.44,2.57,0.97,2.174,2.371,0.929,T1
21:12.3,0.4,墙壁电源,2.44,2.57,0.97,2.1,2.434,0.815,T1
21:15.9,0.4,接地夹下端,3.02,1.53,1.61,2.878,1.586,1.437,T1
21:16.0,0.4,接地夹下端,3.02,1.53,1.61,3.039,1.543,1.477,T1
21:16.1,0.4,接地夹下端,3.02,1.53,1.61,3.2,1.506,1.499,T1
21:18.8,0.4,焊把钳下端,3.02,1.15,1.56,3.395,1.22,1.584,T1
21:18.9,0.4,接地夹下端,3.02,1.53,1.61,3.393,1.554,1.521,T0
21:18.9,0.4,焊把钳下端,3.02,1.15,1.56,3.2,1.238,1.652,T1
21:18.9,0.4,接地夹下端,3.02,1.53,1.61,3.2,1.238,1.652,T1
21:19.0,0.4,焊把钳下端,3.02,1.15,1.56,2.998,1.269,1.702,T1
21:19.0,0.4,接地夹下端,3.02,1.53,1.61,2.998,1.269,1.702,T1
21:19.1,0.4,焊把钳下端,3.02,1.15,1.56,3.265,1.257,1.287,T0
21:19.1,0.4,焊把钳下端,3.02,1.15,1.56,2.79,1.327,1.727,T1
21:19.1,0.4,接地夹下端,3.02,1.53,1.61,2.79,1.327,1.727,T1
21:19.2,0.4,焊把钳下端,3.02,1.15,1.56,3.149,1.209,1.262,T0
21:19.4,0.4,焊把钳下端,3.02,1.15,1.56,3.052,1.167,1.23,T0
21:19.5,0.4,焊把钳下端,3.02,1.15,1.56,2.966,1.131,1.189,T0
21:19.7,0.4,焊把钳下端,3.02,1.15,1.56,2.794,1.192,1.365,T0
21:19.8,0.4,焊把钳下端,3.02,1.15,1.56,2.766,1.159,1.325,T0
21:19.9,0.4,焊把钳下端,3.02,1.15,1.56,2.744,1.121,1.294,T0
21:31.2,0.4,待焊钢板,0.81,0.46,0,0.854,0.515,0.342,T1
21:31.3,0.4,待焊钢板,0.81,0.46,0,0.751,0.111,0.045,T0
21:31.3,0.4,待焊钢板,0.81,0.46,0,0.833,0.52,0.266,T1
21:31.4,0.4,待焊钢板,0.81,0.46,0,0.767,0.143,-0.181,T0
21:31.4,0.4,待焊钢板,0.81,0.46,0,0.816,0.521,0.197,T1
21:31.5,0.4,待焊钢板,0.81,0.46,0,0.8,0.521,0.137,T1
21:31.6,0.4,待焊钢板,0.81,0.46,0,0.786,0.523,0.083,T1
21:31.7,0.4,待焊钢板,0.81,0.46,0,0.773,0.534,0.044,T1
21:31.8,0.4,待焊钢板,0.81,0.46,0,0.763,0.551,0.009,T1
21:31.9,0.4,待焊钢板,0.81,0.46,0,0.767,0.567,0,T1
21:32.0,0.4,待焊钢板,0.81,0.46,0,0.787,0.58,0.037,T1
21:32.1,0.4,待焊钢板,0.81,0.46,0,0.82,0.59,0.08,T1
21:32.2,0.4,待焊钢板,0.81,0.46,0,0.867,0.609,0.08,T1
21:32.3,0.4,待焊钢板,0.81,0.46,0,0.923,0.603,0.135,T1
21:32.4,0.4,待焊钢板,0.81,0.46,0,0.985,0.59,0.19,T1
21:32.5,0.4,待焊钢板,0.81,0.46,0,1.042,0.577,0.246,T1
21:33.9,0.4,锤子,0.24,0.17,0,0.025,0.31,0.19,T0
21:34.0,0.4,锤子,0.24,0.17,0,-0.024,0.298,-0.035,T0
21:34.1,0.4,锤子,0.24,0.17,0,-0.03,0.241,-0.024,T0
21:34.3,0.4,锤子,0.24,0.17,0,0.001,0.158,-0.028,T0
21:34.4,0.4,锤子,0.24,0.17,0,0.025,0.032,-0.055,T0
21:34.5,0.4,锤子,0.24,0.17,0,0.035,-0.098,0.108,T0
21:39.4,0.4,待焊钢板,0.81,0.46,0,0.468,0.37,0.009,T0
21:39.4,0.4,锤子,0.24,0.17,0,0.468,0.37,0.009,T0
21:39.5,0.4,待焊钢板,0.81,0.46,0,0.485,0.327,-0.001,T0
21:39.5,0.4,锤子,0.24,0.17,0,0.485,0.327,-0.001,T0
21:39.6,0.4,锤子,0.24,0.17,0,0.498,0.285,-0.241,T0
21:39.8,0.4,锤子,0.24,0.17,0,0.484,0.15,-0.233,T0
21:39.8,0.4,待焊钢板,0.81,0.46,0,1.026,0.411,0.309,T1
21:39.9,0.4,锤子,0.24,0.17,0,0.494,0.049,0.003,T0
21:39.9,0.4,待焊钢板,0.81,0.46,0,0.98,0.404,0.29,T1
21:40.0,0.4,锤子,0.24,0.17,0,0.497,-0.049,0.007,T0
21:40.0,0.4,待焊钢板,0.81,0.46,0,0.93,0.384,0.265,T1
21:40.1,0.4,待焊钢板,0.81,0.46,0,0.875,0.351,0.249,T1
21:40.2,0.4,待焊钢板,0.81,0.46,0,0.815,0.32,0.244,T1
21:40.3,0.4,待焊钢板,0.81,0.46,0,0.75,0.292,0.241,T1
21:40.4,0.4,待焊钢板,0.81,0.46,0,0.68,0.161,0.199,T1
21:51.3,0.4,面罩把手,0.24,0.83,0,-0.118,0.666,0,T0
21:51.4,0.4,锤子,0.24,0.17,0,0.055,0.46,0,T0
21:51.5,0.4,锤子,0.24,0.17,0,0.052,0.447,0,T0
21:51.6,0.4,锤子,0.24,0.17,0,0.048,0.431,0,T0
21:51.7,0.4,锤子,0.24,0.17,0,0.047,0.41,0,T0
21:51.8,0.4,锤子,0.24,0.17,0,0.023,0.381,0,T0
22:08.2,0.4,墙壁电源,2.44,2.57,0.97,2.647,2.249,0.854,T1
22:08.3,0.4,墙壁电源,2.44,2.57,0.97,2.613,2.264,0.818,T1
22:08.4,0.4,墙壁电源,2.44,2.57,0.97,2.569,2.282,0.775,T1
22:08.5,0.4,墙壁电源,2.44,2.57,0.97,2.541,2.259,0.905,T1
22:08.6,0.4,墙壁电源,2.44,2.57,0.97,2.532,2.262,0.858,T1
22:08.7,0.4,墙壁电源,2.44,2.57,0.97,2.548,2.261,0.826,T1
22:08.8,0.4,墙壁电源,2.44,2.57,0.97,2.59,2.256,0.806,T1
